"Classe","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1. Supressão de Vegetação Primária","","7308931","6432726","5749646","4921199","4792157","5116605","4571184","4867557","5387773","4757482","4538400","4461042","4457753","4137785","4061864","4250984","5322253","5082491","4296757","3536595","2932379","2991726","2322873","2188356","2185980","2380982","2644656","2329397","2437064","2365136","2141748","2259905","2985170","2941241","3409599","3608005","2480731"
"1.1. Floresta","","6723628","5810057","5242827","4439531","4356501","4751490","4190514","4502152","5039108","4405533","4202276","4143159","4143475","3848946","3740699","3950579","4949796","4684679","3988790","3269284","2703937","2726331","2079914","1929069","1937688","2133689","2368128","2109021","2193583","2165033","1954219","2058063","2725613","2711295","3170734","3162386","2038847"
"1.1.1. Formação Florestal","","3074682","2967556","2674975","2291187","2351491","2614981","2322106","2579252","3030905","2620783","2625738","2468080","2445887","2311421","2416436","2642581","3412744","3130514","2616340","2083983","1683720","1619244","1111661","988035","1027980","974887","1156761","1014571","1170809","1254275","1124934","1190931","1642475","1532716","1947928","1757370","1054127"
"1.1.2. Formação Savânica","","3501307","2685421","2429000","2021684","1893975","1973838","1708745","1770029","1792214","1577637","1361957","1470637","1492517","1416149","1220451","1211515","1422638","1456259","1289193","1124128","975250","1054734","926879","899941","870950","1126323","1170728","1063703","981859","847806","783036","824480","1032410","1131745","1133865","1333468","922039"
"1.1.3. Mangue","","36","175","118","56","214","73","69","31","74","63","98","173","45","85","73","105","87","111","131","95","120","63","72","60","89","128","95","86","115","288","140","31","36","35","37","111","28"
"1.1.4. Floresta Alagável (beta)","","132093","141046","125811","115481","101932","153864","150970","146045","209202","200827","206496","198437","197613","115188","99619","93160","109724","93989","80159","59027","42235","50054","37997","38303","36675","29878","35923","28479","39025","60599","43322","40376","48901","44658","86662","69783","60862"
"1.1.5. Restinga Arbórea","","15509","15858","12922","11122","8886","8732","8623","6794","6711","6221","7986","5828","7411","6102","4119","3216","4602","3805","2963","2048","2610","2234","3303","2727","1992","2472","4619","2181","1773","2063","2785","2243","1789","2140","2239","1652","1789"
"1.2. Formação Natural não Florestal","","585302","622669","506818","481668","435656","365115","380670","365405","348664","351949","336124","317883","314277","288838","321165","300405","372456","397812","307967","267311","228442","265394","242959","259287","248291","247292","276528","220376","243480","200103","187528","201842","259556","229946","238865","445619","441883"
"1.2.1. Campo Alagado e Área Pantanosa","","150502","98022","78091","88234","74253","63823","63871","67383","63507","59093","50691","57538","48026","43070","43909","45787","45745","43201","38390","23821","33086","34640","31985","27386","22922","31562","31324","24464","35467","39342","26969","25942","42499","32566","22516","198839","73418"
"1.2.2. Formação Campestre","","429185","516383","421877","387304","356208","297261","311368","294204","280996","290389","282860","257614","263521","243274","275118","252344","324228","352744","267693","241782","193773","228500","209326","229936","222883","213982","242577","194812","206943","159842","159630","174934","215690","196414","214933","244836","367300"
"1.2.3. Apicum","","3","87","1594","213","214","43","257","42","84","24","43","27","50","123","96","85","75","83","42","38","56","78","46","49","80","132","148","139","116","85","90","70","91","40","30","69","3"
"1.2.4. Afloramento Rochoso","","1218","1106","1284","563","702","672","862","598","503","459","468","530","505","388","246","260","312","254","347","228","269","327","229","325","438","362","815","320","345","244","201","338","386","347","586","752","750"
"1.2.5. Restinga Herbácea","","4392","7068","3971","5350","4278","3314","4309","3176","3573","1983","2060","2172","2173","1981","1794","1927","2094","1527","1492","1440","1255","1846","1370","1589","1967","1252","1661","639","607","587","637","555","888","577","798","1120","410"
"1.2.6. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Supressão de Vegetação Secundária","","","","112426","206150","379203","616211","706388","808803","986157","956465","985613","1091212","1154614","1190023","1144834","1140401","1314600","1350995","1192583","1164543","1145766","1275122","1153011","1210448","1251056","1373612","1488322","1424841","1478782","1472338","1342547","1453311","1588832","1511754","1655177","1934253","957946"
"2.1. Floresta","","","","98385","159312","302392","520301","583005","666245","835604","789282","819593","913238","987624","1014592","960416","937071","1067579","1087862","1003533","984735","960799","1071168","965040","974081","1016563","1142062","1258770","1236329","1273229","1275889","1132695","1200437","1313257","1250398","1370247","1665369","824015"
"2.1.1. Formação Florestal","","","","71599","85118","140116","271638","316511","362015","473408","414430","442311","469718","497085","533405","534687","506436","571646","570027","501207","492341","488128","534204","452565","458317","473389","518979","606678","575798","648173","662882","584106","590482","641905","571828","625653","808835","541025"
"2.1.2. Formação Savânica","","","","19960","68617","154154","227602","241674","283229","325428","343047","335563","407947","455749","453335","393185","406678","468644","481310","469288","461403","444959","501847","475849","482115","515343","595350","617282","624979","581644","560137","507549","569594","625959","645387","714709","794315","235682"
"2.1.3. Mangue","","","","6","8","15","20","19","19","69","32","47","62","34","54","41","29","47","113","106","66","75","71","55","55","85","112","92","65","76","213","135","32","31","36","41","60","3"
"2.1.4. Floresta Alagável (beta)","","","","6751","5461","7765","20366","23622","19701","35347","30325","39663","33477","32348","25397","30702","22287","25276","33836","31003","29432","25803","33495","34125","30933","25745","25164","31405","32694","41261","50382","38249","37648","43409","30580","26968","59322","45601"
"2.1.5. Restinga Arbórea","","","","66","107","339","674","1177","1278","1350","1447","2006","2032","2406","2399","1799","1639","1964","2574","1927","1490","1832","1549","2444","2659","1999","2455","3311","2791","2073","2273","2655","2680","1951","2565","2875","2836","1703"
"2.2. Formação Natural não Florestal","","","","14041","46838","76811","95910","123383","142558","150552","167182","166020","177974","166989","175431","184417","203330","247021","263133","189049","179808","184967","203953","187971","236367","234493","231549","229552","188511","205552","196448","209851","252873","275575","261356","284929","268884","133931"
"2.2.1. Campo Alagado e Área Pantanosa","","","","2024","5318","12748","19731","24187","25185","27454","29291","29614","30858","30949","28501","29018","29479","31292","30111","26223","22510","31004","32822","31656","36600","32355","36614","39760","31562","44378","43123","30454","35848","44995","41782","38394","78153","15375"
"2.2.2. Formação Campestre","","","","11913","40909","63445","75412","98316","116377","121580","136884","134973","145304","133946","145239","153369","172042","212826","231051","161044","155661","151838","168456","154577","197255","199473","192634","187433","155218","159612","151878","177831","215089","227858","217554","243755","187996","117605"
"2.2.3. Apicum","","","","6","19","18","32","96","72","106","51","94","87","199","225","158","110","116","159","110","113","177","243","130","128","191","328","341","260","137","168","184","148","144","81","108","97","1"
"2.2.4. Afloramento Rochoso","","","","55","46","67","95","98","179","219","129","129","150","170","113","96","105","203","117","105","132","154","170","129","406","192","195","249","158","158","199","202","243","202","198","289","337","139"
"2.2.5. Restinga Herbácea","","","","40","544","531","638","684","742","1191","825","1208","1572","1724","1350","1773","1591","2582","1694","1566","1389","1792","2261","1476","1976","2279","1776","1767","1311","1265","1078","1178","1544","2374","1739","2380","2299","809"
"2.2.6. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""