"Categoria","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Formação florestal -- Pastagem","815550895.988926","849272428.1060144","1128034724.1558003","970511646.9606968","1174777867.9621477","1470573771.2282782","1262319138.2924275","1271684716.4991472","1181126199.132293","1163814296.4113808","1062646642.0151911","1174616847.6712575","1319261006.6612544","1733224055.638278","1569359467.8857348","1279521894.0056586","972598736.6322296","798399672.4310545","737254788.7208807","452274584.8581564","390675683.78229547","417493291.46879554","413331813.36844116","501297664.65099585","462852849.0688895","572800035.1941019","626391094.193325","532012455.02452856","562970277.4812747","859817073.9575539","754251788.3797709","1018477097.7878597","625149324"
"Animal","349654130.9566639","360776309.657374","366017798.1146696","367980880.7983166","374445191.1460101","381775297.26708776","356136049.57022154","362595905.70478326","367829896.39151204","371905429.9181412","384002986.36817354","400205760.06668836","407808821.88350636","428974313.83438843","448261795.7657212","453163585.1766604","451556758.44939625","429148030.80898416","436311773.7986804","444576141.43768775","456531619.5380839","452829692.00943696","450123882.0223059","450685147.0725432","453001812.1412709","460784056.2557215","466674701.7969005","458461015.2248758","455991566.9976858","457648215.9924266","463903058.23833084","476738587.349609","496040350.95468354"
"Formação campestre -- Pastagem","9608671.018380947","7494951.181669787","8558659.120595142","8056546.804108683","7319356.661716923","7897264.428964224","7264261.794193637","8770690.296844643","8956896.733322166","6082752.303554952","5158295.714731436","4317660.878088906","4288039.952494979","5435653.889617436","5142998.911819283","4926361.759137481","4167203.364047289","4334168.099524889","3444018.5804890357","2512235.32415884","2843463.5011572167","1915458.7936264873","2306234.67471933","2526324.1883403435","2162199.798665166","2490312.382770434","2460698.951109443","2206940.298650965","1994776.385081727","2029824.3039065748","2088383.82626025","3869888.898898106","165347146"
"Consumo final energético","87889837.99026847","88518680.45132759","90457921.03771494","92579826.81491461","96006206.43420112","99884024.82350186","106425922.77875915","112043146.25735821","112547753.76572144","117588890.62098773","122040717.54480234","124000651.08869728","125182227.38484101","122683006.28014448","124661424.97866394","128930733.42418118","130485533.13173825","138371191.32128933","142395930.66524717","138892370.09709573","142981142.4820879","145854714.52278772","146368749.6032451","150176816.2390657","153559478.0656468","148288385.84452817","140595999.22447854","142275266.33111942","139635277.0554626","138778932.64258605","128892806.61956662","133799203.26008308","134416648.0007571"
"Formação florestal -- Mosaico de agricultura e pastagem","191495591.7729754","184574582.2875952","163949956.19886768","158472745.61255115","158714371.67110395","162888997.38921317","141910242.3122164","153883964.15438762","124021252.92410424","152124824.64987028","142460208.7199641","121001672.18092975","131901036.69215018","138963415.68559253","123534134.50152105","98294638.7005868","94740833.76848763","80374708.80845326","85866379.89979675","74452580.44878072","71491987.57972378","69722307.6150536","66329019.73435381","75955008.23236191","62965897.35452956","65233814.86537659","64807680.45290837","64869644.30642456","71283583.3943584","80092680.03533968","92433376.47149295","88563202.20102477","113317500"
"Caminhões","39663305.8515625","40692413.5546875","40775980.890625","41366549.00390625","42934077.203125","45369728.46484375","46921620.04612446","49310554.70277977","51248522.391070366","51620393.87650871","53088025.98404026","54360984.10547829","56486359.6009388","54531332.698337555","58467170.45206833","58411553.05877969","59223577.33310771","62110018.21862443","65384088.02151885","64097855.99482219","70691502.5772818","75099505.80351853","79644795.35959862","85099011.24259852","85940742.83060063","81482016.41351742","78840004.49639405","78341489.97786242","77338899.7810944","79128169.46005999","78623916.94372919","86782555.81898439","91385003.25103773"
"Automóveis","20207200.162540436","21627332.531806946","21329615.02048874","22306629.241630554","24446944.186088562","29198792.73501587","33946135.01288605","36893742.77322388","38563557.65963745","36134209.30922699","35175353.72161865","35143480.80686188","34819384.15784836","37311428.358306885","39013002.98909378","39939840.74293055","42700691.12984474","42955960.39155146","43368393.55036025","43080988.05123212","50358329.61904347","58925173.06262583","68053413.76926833","68407806.74605574","71928568.7820629","66206699.248640805","68952234.82573614","71633560.98312384","64761374.01172813","65452056.4630638","61756999.3880735","67918881.77937967","73598419.11584301"
"Formação savânica -- Mosaico de agricultura e pastagem","95016411.44716418","85434804.82677019","84567852.48253244","79675958.22035316","86962184.98747885","67473419.56958258","62820838.54372567","55069715.77748853","50946160.98325086","51607898.09942737","57000070.412570775","57110879.02717316","60155307.33612549","60800327.46040845","70840890.8114649","49178623.73773193","38954201.49388695","39771203.31331372","41693004.6847831","36711135.61953014","34977913.20422298","38441181.564224124","47313695.06782615","39232007.63153729","34160992.80578506","33503729.075356543","30135834.111372232","29115647.33920884","50821694.229934394","50723118.48609626","63392564.48616597","52813646.761012435","71440106"
"Insumo","11707446.384106409","11996691.355753357","12921978.56165166","16102927.992874254","17440623.49971363","13193148.328712873","15291453.370827636","16786573.16916994","17408872.59674687","16595883.506398134","20176340.304441962","19249099.94075573","22311450.061614335","27229904.85990368","27187580.22498143","22757341.511692222","23129791.180868097","28684333.091412496","27830109.339906447","26033354.882916152","30144927.103077665","36317114.25384252","38336123.89432241","40674459.26217077","41915920.101347566","37423794.870957814","45437285.26457011","47431890.77425205","49613017.22135828","49995587.41884472","56275663.22126491","65049496.22847868","64441146.13319841"
"Resíduos sólidos","12032269.838115409","12860105.573459065","13716540.813498575","14767409.048165478","15977083.232534302","17342492.46406248","18863559.479301307","20581934.778114606","22458980.692818187","24510472.40834032","26728738.24032146","29019847.955044337","31270491.320508145","33436900.237644576","34071840.66648255","35553951.1774763","37567871.72474876","38369667.01200533","38672852.80620775","41033047.66949775","42806463.023807436","44639896.91061985","44748816.034372754","47866690.773404084","49850914.696098216","52250336.879599124","53940657.312297344","55088095.28787575","57517633.4653496","58639366.744047344","60302103.85169136","60773255.37495622","61427580.98111559"
"Vegetal","26029963.157674044","26778011.38383788","28403122.97170721","28793563.03573491","29608576.730220344","30276434.2297531","27777182.728692744","27906688.930605523","28066936.509902634","30203057.145562354","29704540.189409226","30667614.340924207","33469010.740983855","35198182.615385525","36376591.6367486","36377368.216794655","36820030.93921501","38149688.65533696","40479050.4168774","39914636.03424623","40650284.4851522","43180400.738557525","41556991.88915066","43852055.266691566","44739895.10536535","46515358.38521926","43915920.372581385","49005880.98843269","47619652.459583044","47852693.04655341","48768255.80662837","48886841.54254229","49422658.31111633"
"Consumo de combustíveis fósseis","21500156","25980323","26274072","27899573.391601562","29001009.455078125","29738783.58984375","30278671.95703125","31614231.95703125","32117540.908203125","30232039.5859375","33939923.0234375","33287077.6796875","35669874.3515625","36582160.087890625","37448057.76953125","35223422.51269531","33784417.130859375","36990263.61816406","37305663.14941406","29708051.641601562","38259048.869140625","41484285.37597656","40083216.7578125","39073767.12109375","39738050.505859375","40967035.8671875","37032328.91320801","41114355.75","42130743.6875","38442850.90625","36425739.4375","41829918.375","39265115.9375"
"Formação savânica -- Pastagem","120346149.74392906","109562906.3572118","143409732.3216801","110375762.9683338","108541904.20179561","112204069.03218791","94167449.59845339","83020018.62797396","86836399.68382618","85151471.1858598","89441848.53425327","74464676.70412669","78358486.70227902","100467298.1627702","82653450.81434345","74738104.29088318","62563426.363317624","57056363.73890019","59151300.02863385","49780966.09522302","45657533.87236931","49904405.37268007","65513823.00137547","75788138.7370865","62775103.71699567","62597242.46226816","54517815.29023129","50757186.47298304","53457031.850264266","47318643.49944213","39873315.037427485","43890423.94607998","37085196"
"Efluentes líquidos","17967817.769199565","18414595.815995306","18844904.17258264","19180359.114598423","19654258.56534326","20299262.513894737","20880784.49309957","21088390.098295737","21492297.893647105","21999411.75343237","22563428.36590399","23020640.624246173","23540052.311129924","23779598.431293115","24642530.248495393","25219904.899220232","25727222.14207878","25576949.941734016","26445465.9169667","26866749.237103835","26958708.148292646","27482124.77115112","27829389.56913832","29203982.46129419","29523644.607245624","29659110.669059187","29888997.782631285","30185499.77045632","30516758.76913014","30720474.652434904","30937038.83781451","31211367.489426754","29905808.34068933"
"Centrais elétricas de serviço público","6263788.183502197","7178619.166381836","7840640.852462769","6879253.505111694","7536857.124504089","9123170.48323059","10160017.482234955","11967982.611389935","12447474.418792963","19278354.417139173","19131144.284347534","21688554.78234005","17196698.85606575","16130056.356210709","20372241.1258564","20995293.711009633","20743223.210264873","19433793.08875745","26586024.381863736","16596882.192788206","26691165.533328835","20028733.84682644","35060546.63838579","55561686.686182275","70145258.95147167","65626519.931902714","42861427.93551592","45262014.38598426","36489116.336096376","38367665.12271526","33178715.21403682","57801940.14262915","22182742.977542177"
"Cimento","11062000.08203125","11776000.13671875","9770000.06640625","10163999.9609375","10086000.01953125","11528000.03515625","13884000.140625","15266999.984375","16174999.96875","16439000.1875","16047000.140625","15227000.265625","14390000.0546875","13096000.01953125","13273000.03125","14349000","15440000.078125","17199999.90625","18884000.03125","19030999.984375","21288000.09375","23079854.921875","24778084.03173828","25265134.5859375","26108247.342773438","23942498.549316406","20943497.376953125","19446772.875","19302229.016601562","20385671.732421875","21984860.650634766","23724617.813476562","20828103.383789062"
"Ônibus","9235911.928710938","9968423.388671875","10709913.19921875","11343686.845703125","11970981.455078125","12948815.677734375","13969395.876953125","15194701.810546875","16104165.482421875","16248909.787109375","16650884.177734375","17101384.44921875","17808020.572265625","17207696.646484375","18215579.455078125","17778473.8463157","17875124.655617","18786304.58746654","19668521.28101123","19013399.19906272","20404366.751111142","21190557.071796656","22167821.433614306","23352825.693097703","23189520.892938208","21635111.424212195","20609136.15971243","20082806.575029965","19382343.24794037","19369437.848903216","18646871.842692427","19485313.15882099","19379615.225468215"
"Campo alagado -- Pastagem","3999100.161104806","4096563.2120645344","3975250.465667378","4521949.143092345","3317430.20728413","3949912.9171470255","3750622.526551053","4033378.5157359354","3714848.6249909177","3868030.6615364514","3814771.4931934774","3247743.0461330116","3109979.2068803944","3233971.5830482095","3052209.228559803","2979731.3816245236","2524037.2902814373","2946465.390414715","2642403.27194437","2386424.4910090975","2817296.0247761942","2479604.2281442024","4049719.72648371","4772215.3120023385","3120604.7580316253","3621266.9444110543","3497362.242030181","2742492.44929849","2445839.0735179633","3135347.5255329013","3952866.6670280136","3803119.2208838724","18271626"
"Comerciais leves","4014437.526485443","4570445.283576965","4803635.482328415","5227915.486717224","5814906.683906555","6843434.940202713","8023495.852119446","9031404.803482056","9701970.915704727","9453097.397307396","9424381.928595543","9482227.73842144","9415718.240202427","9486454.56403017","9923117.480257034","9867651.390036019","10138155.463128291","10140199.68043389","10262962.292029466","10093900.581367407","11532820.433483636","13085063.1569164","14870086.303627906","15621061.85255155","16501728.31330567","15543222.446402797","15895147.563964888","16401841.393510142","15435794.464109404","15793541.302146282","15478656.079311553","17142940.31345528","17909549.524376266"
"Centrais elétricas autoprodutoras","2358246.0874023438","2433754.6750411987","3174505.3073393106","3175510.5128335357","2927328.114447728","3254348.0456937067","3737676.2078089025","3715655.5299260616","4139419.219117582","5488639.450753622","5245227.186108403","6777194.355558753","5836860.067663312","5454009.498997251","6342675.54145018","6665019.819371704","6972920.473922361","8394139.059032086","8577687.502759447","7211389.559739203","10290394.656599341","12473238.400695307","11189712.01121086","11248068.200071024","12104562.282223321","12414250.28553275","12322218.588165076","14466268.188122923","14574463.309615696","14547078.129117921","18726918.04858056","18119621.699477486","17778677.987864517"
"Floresta alagável -- Pastagem","6924939.97059764","11600254.242597308","11615551.598156698","12997296.502434172","7869955.10283085","14444339.298588641","14518125.206154987","21146324.0499691","19516118.514574617","16296444.88276188","18364463.652323417","13451773.386859063","11541313.158373848","12407846.475250788","12873675.484656628","10661612.686219089","11973239.856233642","11951069.38686461","10726470.240430102","8704819.042816758","8055477.083100162","7197121.718403913","18535961.971594967","14147359.7712643","13378357.958500408","14286893.983838871","24031417.734721072","11675186.311121047","9333331.725858405","11374849.981755488","9081783.34789779","24805456.590807866","13273747"
"Pastagem -- Outras áreas não vegetadas","657519","672601","721393","784376","671177","732375","859503","755305","766868","915922","970930","975127","847807","867877","1200002","994631","957701","851973","943573","840042","719635","1050681","976783","1159884","1209505","951730","884781","984651","928128","790034","1082552","2276730","11007151"
"Aeronaves de aviação civil","5088397","5342213","5034008","5305953.5","5426818","6333302","6759349.5","7608423","8342675.0234375","7774611.685546875","8285264.291015625","8526993.566894531","8203680.6806640625","5819627.6884765625","6221502.298828125","5692719.961571723","5916319.422433682","6439058.502442781","6393734.234810296","7551012.278865024","8940954.510597266","10240248.376612715","10436653.280630648","10031757.011226578","10119383.812372975","10231183.530230675","9502974.526702102","9480609.864651013","9744639.018101498","9536084.418392427","5450398.389167231","7237140.835375275","8994021.775714736"
"Formação campestre -- Mosaico de agricultura e pastagem","17499982.558354646","15494633.356002867","14652730.413318694","14361664.275676936","15976544.090091854","11294337.874127746","12083394.443547249","14572581.108937383","12782053.688379854","12099791.8220056","11878075.176920801","14179411.16086924","14102119.106182933","16757066.525081307","14820983.625311375","7708836.467943817","7537839.301734567","6019682.388219267","9118725.76312837","5955943.328012317","10290499.130247504","11444578.185351908","14467105.855771035","14952687.573454559","9767866.667626888","10126596.37713039","8040222.119145274","9965614.227838606","10694951.35284087","17171751.09188509","18874172.999788404","17653547.452987313","8576054"
"Outros processos","4449685.632949829","4315467.968204498","4480718.8322246075","4539075.809844971","4796272.606737137","4683541.099710703","5005963.075500488","5395184.718734741","5812116.722061157","6012856.77230835","6108564.98664856","6303300.60798645","6195725.339675903","6128685.00447309","6147323.04624939","6311099.624694824","6651884.604278564","7162156.2420043945","6894377.636627197","6915505.207309723","6824552.546562195","7059918.621274948","8131677.659789324","8325644.050626755","8463880.753658295","7519057.538161516","7844614.708720684","7476497.052933216","7345225.123790741","7441802.250277281","7588569.426531792","7438637.804044247","7806455.661370277"
"Queima em tocha (flare)","2454992.7285223007","2422659.883301735","2455560.9007589817","2509298.5536432266","2608105.5758929253","2675746.038050413","3001831.8909492493","3226606.297129631","3696620.4799160957","4126593.2847070694","4586163.074742909","4812023.329620586","5338285.868874322","5191730.608925305","4618406.565698536","9053065.141847778","6693585.545530478","6422595.016259052","7563270.286044441","13692510.969726458","9179674.503564596","6878464.451220989","6131167.252413273","5980142.921700478","6905559.270015001","6794805.4014053345","6736123.981284142","6753010.537333965","6670063.093211174","7101864.231725216","7240866.493343353","6937091.102149487","7098316.495592117"
"Formação florestal -- Mineração","3629254","2758797","2736457","1941669","1546756","1739440","1539519","1276753","1169250","1535967","1542263","1352608","1139802","1234389","1044419","1338380","1278415","1744208","1985476","2359947","2080591","2819715","3760375","4384649","4660435","4988022","6468712","7433486","7100469","7740535","6157843","11927524","6361308"
"Cal calcítica","2659172.75","2668630.25","2868098.25","3063188.75","3025898.5","2988970","3054985.75","3175130.75","3019407.75","3257908.75","3948245.75","3763748","3939893","4041952.75","4345575","4319080.359375","4361600","4564346.3828125","4581184.265625","3922135.4765625","4800781.1015625","5220422.0625","5298998.484375","5376384.265625","5195811.015625","5290141.1875","5290141.1875","5290141.1875","5290141.1875","5162668.140625","5162668.140625","5162668.140625","5162668.140625"
"Pastagem -- Formação campestre","693433","1024586","514062","623691","469589","729972","625483","608763","646638","621527","1104955","662598","1048138","610493","741192","943713","607726","829669","802169","777005","689657","766841","772625","890849","751584","816877","956728","870641","1000699","989158","749732","1263554","4896785"
"Motocicletas","855775.9310779572","922084.4266395569","886856.1497344971","851592.9848518372","826486.6050758362","869681.0078163147","955272.4509429932","1062451.8859863281","1194986.0145111084","1234133.7428588867","1310163.7303466797","1440789.1805114746","1569379.524017334","1799811.068206787","2019627.0320129395","2230381.792816162","2665766.7018432617","3206785.5059760315","3919043.407766821","4282836.629029046","4905436.135940408","5323015.721448532","5973888.0733498745","5843286.022340264","5928526.373697498","5494233.99269867","5365684.494132227","5244600.311649143","4677804.260732659","4583852.738249765","4104198.9304763284","4295893.69522448","4785679.060451878"
"Outros","148926551.1670219","170827183.79664108","131267794.1877424","164864448.55708218","163560199.1689611","151030963.30935264","145824608.13342905","130164591.52454829","147614330.42386714","148127675.75434938","157728740.44450474","156978155.0730402","131226890.94955453","182122609.05126917","234299232.0688567","205018977.534237","152621479.57999167","132392013.00483467","147187438.23458934","135136318.81628978","151576437.34699282","134430323.90716285","184963059.64300913","217686340.24306977","185760511.076209","196309365.76371893","147205959.28624323","152777989.44317627","142968111.81305984","157062822.0024835","111287604.7623667","95250167.9357827","84918829.24874699"